Title,Artist,Album Cover URL,Slug,Song Link
Get You (feat. Kali Uchis),"Daniel Caesar, Kali Uchis",https://i.scdn.co/image/ab67616d0000b2737aa8783ad8def37cc548a9cf,get-you-feat-kali-uchis,https://open.spotify.com/track/2uP6t2J5MEwhr9rDkAAzwh
Language,"Paperboy Fabe, Brent Faiyaz",https://i.scdn.co/image/ab67616d0000b273514cf65903e09649d7672c53,language,https://open.spotify.com/track/4RnvS1tmh1ERhjXX6dxv95
Dark Thoughts,Lil Tecca,https://i.scdn.co/image/ab67616d0000b273f9a2359739728d2af3284a8e,dark-thoughts,https://open.spotify.com/track/7EW7Yivb93qKAtp5qEm5of
Show Me,Joey Bada$$,https://i.scdn.co/image/ab67616d0000b273359c3ca1998485eb6e51cf89,show-me,https://open.spotify.com/track/2uuJs2nltcYFh9pkKP7bW4
Sunshine (feat. Fousheé),"Steve Lacy, Fousheé",https://i.scdn.co/image/ab67616d0000b2736938311000a0e494a26986e5,sunshine-feat-fousheé,https://open.spotify.com/track/2FPmvXIMpjgzJQbUeJo8Iv
Superpowers,Daniel Caesar,https://i.scdn.co/image/ab67616d0000b273e242f18dafe885fcf425fe1f,superpowers,https://open.spotify.com/track/5ACyj7qJsA7f1Lkkequ1wi
After Last Night (with Thundercat & Bootsy Collins),"Bruno Mars, Anderson .Paak, Silk Sonic, Thundercat, Bootsy Collins",https://i.scdn.co/image/ab67616d0000b2735f19f50677f8ded7021b8229,after-last-night-with-thundercat-bootsy-collins,https://open.spotify.com/track/6jGAh1bFnXt1Muj9zeHveZ
Best Time,Brent Faiyaz,https://i.scdn.co/image/ab67616d0000b273ceb160561269ab00b1df9678,best-time,https://open.spotify.com/track/1zgHn1EqUyA0HqNYMdJ5ia
Rocky,Still Woozy,https://i.scdn.co/image/ab67616d0000b273d99483d9563d99b22572c74a,rocky,https://open.spotify.com/track/5uDohC8URXwbGiHAMuKGoa
ALL MINE,Brent Faiyaz,https://i.scdn.co/image/ab67616d0000b27369f63a842ea91ca7c522593a,all-mine,https://open.spotify.com/track/3XgGQ1wjo5khvq2UImjyNF
RUNNING OUT OF TIME,"Tyler, The Creator",https://i.scdn.co/image/ab67616d0000b27330a635de2bb0caa4e26f6abb,running-out-of-time,https://open.spotify.com/track/5QvBXUm5MglLJ3iBfTX2Wo
DIE TRYING,"PARTYNEXTDOOR, Drake, Yebba",https://i.scdn.co/image/ab67616d0000b273b5a28a256eae6dc0424fef59,die-trying,https://open.spotify.com/track/0NUqi0ps17YpLUC3kgsZq0
Wish (feat. Trippie Redd) - Trippie Mix,"Diplo, Trippie Redd",https://i.scdn.co/image/ab67616d0000b273e71ccb392305961631deb63b,wish-feat-trippie-redd-trippie-mix,https://open.spotify.com/track/0c0YHn3DIQLl1opsQDd9kO
Who Knows,Daniel Caesar,https://i.scdn.co/image/ab67616d0000b27347bcac7a04ff11294c50a044,who-knows,https://open.spotify.com/track/1OtnMzmWT61Ht5QkRy3pGt
Hurts Me,"Tory Lanez, Trippie Redd, Yoko Gold",https://i.scdn.co/image/ab67616d0000b2731dba361996f5b70c1df2b4ee,hurts-me,https://open.spotify.com/track/0RBw4ODUQPO4cuAOZtBGga
Sanctuary,Joji,https://i.scdn.co/image/ab67616d0000b2738da6404284573219a9b1e2f4,sanctuary,https://open.spotify.com/track/3HxpSe02QPSIQLDqT6Foj9
Finesse,Bruno Mars,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,finesse,https://open.spotify.com/track/5XMkENs3GfeRza8MfVAhjK
Everything I Am,"Kanye West, DJ Premier",https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a,everything-i-am,https://open.spotify.com/track/0NrtwAmRAdLxua31SzHvXr
ADDICTIONS (FEAT. Tre' Amani),"Brent Faiyaz, Tre' Amani",https://i.scdn.co/image/ab67616d0000b27369f63a842ea91ca7c522593a,addictions-feat-tre-amani,https://open.spotify.com/track/01VzuxoBYMAJLObfU0w6dI
In A Good Way,Faye Webster,https://i.scdn.co/image/ab67616d0000b273c699d66824a938624c44c2b7,in-a-good-way,https://open.spotify.com/track/2VYnlKxB8jpbCeLUjQsebc
Feels Like Summer,Childish Gambino,https://i.scdn.co/image/ab67616d0000b273602ca5b83fe44b68074a74b2,feels-like-summer,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr
Hold Me Down,Daniel Caesar,https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037,hold-me-down,https://open.spotify.com/track/1Mza2sr6tPhy6jjI3HB9fW
I'll Take Care of You (feat. Yebba),"Tyler, The Creator, Yebba",https://i.scdn.co/image/ab67616d0000b2734b7fbb849ed845ddedcce346,i-ll-take-care-of-you-feat-yebba,https://open.spotify.com/track/4waPZF96vX1Oz5pzH6dB0h
In My Room,Frank Ocean,https://i.scdn.co/image/ab67616d0000b273db974f9533dd9b362891b5db,in-my-room,https://open.spotify.com/track/4S4Mfvv03M1cHgIOJcbUCL
Clouded,Brent Faiyaz,https://i.scdn.co/image/ab67616d0000b2736a463f436bbf07f3c9e8c62a,clouded,https://open.spotify.com/track/2J6OF7CkpdQGSfm1wdclqn
Heartless,Kanye West,https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18,heartless,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
You (feat. Travis Scott),"Don Toliver, Travis Scott",https://i.scdn.co/image/ab67616d0000b27372951fef63d89bee5e8224c7,you-feat-travis-scott,https://open.spotify.com/track/4qS2KPWvsQzLvRa9oCHw41
GOOD BAD UGLY,GIVĒON,https://i.scdn.co/image/ab67616d0000b273f949fecf209f5e20900c126d,good-bad-ugly,https://open.spotify.com/track/1gwUb85kQ6XbmkpoImyPtK
Love Yourz,J. Cole,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,love-yourz,https://open.spotify.com/track/2e3Ea0o24lReQFR4FA7yXH
"New Person, Same Old Mistakes",Tame Impala,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,new-person-same-old-mistakes,https://open.spotify.com/track/52ojopYMUzeNcudsoz7O9D
Japanese Denim,Daniel Caesar,https://i.scdn.co/image/ab67616d0000b2737465bef53d9e3a27c63c7a1d,japanese-denim,https://open.spotify.com/track/7IVukH71OXfAu3KudrrizN
Pistachios,Brent Faiyaz,https://i.scdn.co/image/ab67616d0000b273ceb160561269ab00b1df9678,pistachios,https://open.spotify.com/track/18y43ozfWR9sp5vaD9cEqe
Jaded,Drake,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,jaded,https://open.spotify.com/track/4c2xt1trwYZpMqPWY35Xi9
Love Is Only a Feeling,Joey Bada$$,https://i.scdn.co/image/ab67616d0000b273b142bbe4a766121f8d6fad41,love-is-only-a-feeling,https://open.spotify.com/track/7umZiitjVsEjMQ6HNddpUI
Gimme Love,Joji,https://i.scdn.co/image/ab67616d0000b273f733e50079838090eebc3fe4,gimme-love,https://open.spotify.com/track/0eF8TYM3rYzdS26URcs4U6
